chain,cation,anion,conf,corrEn
1,im,bf4,p1,-34.59261546
1,im,br,p1,-45.4351599
1,im,br,p2,-30.18904041
1,im,cl,p1,-38.54406944
1,im,cl,p2,-27.53587869
1,im,dca,p1,-55.62964364
1,im,dca,p2,-42.80619942
1,im,mes,p1,-42.58176379
1,im,ntf2,p1,-63.94076488
1,im,ntf2,p2,-35.66836056
1,im,ntf2,p3,-41.42927435
1,im,pf6,p1,-36.27730776
1,im,tos,p1,-41.00495655
1,pyr,bf4,p1,-32.73700622
1,pyr,bf4,p2,-30.32967875
1,pyr,br,p1,-43.52216654
1,pyr,br,p2,-41.84853766
1,pyr,cl,p1,-37.77881609
1,pyr,cl,p2,-36.97910415
1,pyr,dca,p1,-39.69699754
1,pyr,dca,p2,-43.21578964
1,pyr,dca,p3,-39.67313144
1,pyr,dca,p4,-41.81373462
1,pyr,mes,p1,-38.32608329
1,pyr,mes,p2,-34.06977254
1,pyr,ntf2,p1,-43.54179243
1,pyr,ntf2,p2,-34.67942323
1,pyr,ntf2,p3,-42.40533035
1,pyr,ntf2,p5,-36.00261195
1,pyr,pf6,p1,-32.32693992
1,pyr,pf6,p2,-30.11317134
1,pyr,tos,p1,-36.43519628
1,pyr,tos,p2,-32.12201707
2,im,bf4,p1,-36.73997541
2,im,bf4,p2,-34.23816261
2,im,br,p1,-46.96958392
2,im,br,p2,-33.41679387
2,im,br,p3,-34.03038949
2,im,br,p4,-46.47528589
2,im,cl,p1,-40.32376459
2,im,cl,p2,-29.61895395
2,im,cl,p3,-30.49692589
2,im,cl,p4,-39.32103516
2,im,dca,p1,-56.76969959
2,im,dca,p2,-53.82443785
2,im,dca,p3,-56.92446007
2,im,dca,p4,-54.24742256
2,im,dca,p5,-55.69091435
2,im,dca,p6,-55.79152719
2,im,mes,p1,-47.44082118
2,im,mes,p2,-43.14191336
2,im,ntf2,p1,-70.03429014
2,im,ntf2,p2,-45.32592844
2,im,ntf2,p3,-44.542232
2,im,ntf2,p4,-61.74520469
2,im,pf6,p1,-40.05361175
2,im,pf6,p2,-36.45021504
2,im,tos,p1,-46.90862183
2,im,tos,p2,-41.82852089
2,pyr,bf4,p1,-33.19101064
2,pyr,bf4,p2,-31.22033589
2,pyr,bf4,p3,-30.93291425
